Source,AT_T_Performing_Arts_Center,Buckner_Park,Dallas_Heritage_Village,Dallas_World_Aquarium,Dallas_Zoo,Klyde_Warren_Park,Meadows_Museum,Reunion_Tower,Rosewood_Mansion,Six_Flags,Sixth_Floor_Museum_at_Dealey_Plaza,Verizon_Theatre
AT_T_Performing_Arts_Center,0.0:0,70.0:0,141.0:0,135.0:0,234.0:0,113.0:0,215.0:0,224.0:0,369.0:0,312.0:0,413.0:0,361.0:0
Buckner_Park,70.0:0,0.0:0,66.0:0,210.0:0,309.0:0,188.0:0,290.0:0,299.0:0,444.0:0,387.0:0,488.0:0,436.0:0
Dallas_Heritage_Village,141.0:0,66.0:0,0.0:0,146.0:0,245.0:0,259.0:0,226.0:0,370.0:0,492.0:0,323.0:0,424.0:0,372.0:0
Dallas_World_Aquarium,135.0:0,210.0:0,146.0:0,0.0:0,94.0:0,253.0:0,75.0:0,364.0:0,341.0:0,172.0:0,273.0:0,221.0:0
Dallas_Zoo,234.0:0,309.0:0,245.0:0,94.0:0,0.0:0,352.0:0,174.0:0,463.0:0,440.0:0,271.0:0,206.0:0,320.0:0
Klyde_Warren_Park,113.0:0,188.0:0,259.0:0,253.0:0,352.0:0,0.0:0,333.0:0,106.0:0,251.0:0,430.0:0,531.0:0,371.0:0
Meadows_Museum,215.0:0,290.0:0,226.0:0,75.0:0,174.0:0,333.0:0,0.0:0,406.0:0,261.0:0,92.0:0,193.0:0,141.0:0
Reunion_Tower,224.0:0,299.0:0,370.0:0,364.0:0,463.0:0,106.0:0,406.0:0,0.0:0,140.0:0,398.0:0,499.0:0,260.0:0
Rosewood_Mansion,369.0:0,444.0:0,492.0:0,341.0:0,440.0:0,251.0:0,261.0:0,140.0:0,0.0:0,253.0:0,354.0:0,115.0:0
Six_Flags,312.0:0,387.0:0,323.0:0,172.0:0,271.0:0,430.0:0,92.0:0,398.0:0,253.0:0,0.0:0,96.0:0,133.0:0
Sixth_Floor_Museum_at_Dealey_Plaza,413.0:0,488.0:0,424.0:0,273.0:0,206.0:0,531.0:0,193.0:0,499.0:0,354.0:0,96.0:0,0.0:0,234.0:0
Verizon_Theatre,361.0:0,436.0:0,372.0:0,221.0:0,320.0:0,371.0:0,141.0:0,260.0:0,115.0:0,133.0:0,234.0:0,0.0:0
